# File Name: Ruimin_qPCR.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272530695
# Instrument Serial Number: 272530695
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2023-12-21 12:31:53 AM UTC
# Run End Data/Time: 2023-12-21 02:17:41 AM UTC
# Run Duration: 105 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-02-13 04:28:30 AM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-02-13 04:29:02 AM UTC
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"194","I2","pRH107","S2","67.20075225830078","29496.1953125"
"194","I2","pRH107","S2","92.85199737548828","7415.0390625"
"194","I2","pRH107","S2","60.67543411254883","27739.369140625"
"194","I2","pRH107","S2","71.13844299316406","28777.57421875"
"195","I3","pRH108","S2","82.16397857666016","170362.3125"
"195","I3","pRH108","S2","71.58846282958984","27902.830078125"
"195","I3","pRH108","S2","92.17696380615234","6947.619140625"
"195","I3","pRH108","S2","61.23796081542969","26583.349609375"
"195","I3","pRH108","S2","68.55081176757812","29011.99609375"
"196","I4","pRH112","S2","82.27648162841797","169399.0625"
"196","I4","pRH112","S2","68.43830871582031","32016.67578125"
"196","I4","pRH112","S2","72.15099334716797","31463.751953125"
"196","I4","pRH112","S2","92.064453125","6322.1875"
"196","I4","pRH112","S2","62.138004302978516","29495.22265625"
"197","I5","pRH106_0.1","S2","82.16145324707031","129378.8203125"
"197","I5","pRH106_0.1","S2","66.7500991821289","24072.8046875"
"197","I5","pRH106_0.1","S2","70.0123519897461","23170.458984375"
